Cache, , , , 
Objects, Time, Function Calls, CacheHitCount, Filled Both Sacks
160, 0:00:00.001504, 50, 0, True
160, 0:00:00.001003, 57, 0, True
160, 0:00:00.001505, 65, 0, True
170, 0:00:00.001001, 48, 0, True
170, 0:00:00.001003, 47, 0, True
170, 0:00:00.002974, 116, 0, True
170, 0:00:00.000502, 28, 0, True
170, 0:00:00.001002, 32, 0, True
170, 0:00:00.002005, 75, 0, True
170, 0:00:00.002507, 113, 0, True
170, 0:00:00.001002, 19, 0, True
170, 0:00:00.008036, 174, 0, True
170, 0:00:00.014537, 418, 1, True
180, 0:00:00.001504, 32, 0, True
180, 0:00:00.000500, 22, 0, True
180, 0:00:00.004010, 109, 0, True
180, 0:00:00.001504, 60, 0, True
180, 0:00:00.002507, 101, 0, True
180, 0:00:00, 19, 0, True
180, 0:00:00.039605, 1441, 76, True
180, 0:00:00.001004, 45, 0, True
180, 0:00:00.002506, 119, 0, True
180, 0:00:00.000501, 13, 0, True
190, 0:00:00.005014, 165, 0, True
190, 0:00:00.002507, 86, 0, True
190, 0:00:00.002508, 110, 0, True
190, 0:00:00.003008, 125, 0, True
190, 0:00:00.003510, 125, 0, True
190, 0:00:00.001991, 69, 0, True
190, 0:00:00.001504, 40, 0, True
190, 0:00:00.004512, 185, 0, True
190, 0:00:00.002510, 80, 0, True
190, 0:00:00.001003, 54, 0, True
Recursion, , , , 
10, 0:00:00.018549, 1653, 0, True
10, 0:00:00.238132, 25124, 0, False
10, 0:00:00.059157, 6597, 0, True
10, 0:00:00.038612, 4304, 0, True
10, 0:00:00.102233, 11582, 0, False
10, 0:00:00.093751, 10564, 0, True
10, 0:00:00.083222, 9410, 0, False
10, 0:00:00.204061, 22650, 0, False
10, 0:00:00.015041, 1686, 0, True
10, 0:00:00.197579, 20498, 0, False
20, 0:00:00.000493, 60, 0, True
20, 0:00:00.000489, 43, 0, True
20, 0:00:00.321914, 37887, 0, True
20, 0:00:00, 47, 0, True
20, 0:00:00.074689, 8829, 0, True
20, 0:00:00.043106, 4987, 0, True
20, 0:00:00.244150, 29044, 0, True
20, 0:00:00.005014, 671, 0, True
20, 0:00:00.001504, 149, 0, True
20, 0:00:00.010532, 1217, 0, True
30, 0:00:00.000502, 28, 0, True
30, 0:00:00.000501, 31, 0, True
30, 0:00:00.002005, 283, 0, True
30, 0:00:00.002998, 407, 0, True
30, 0:00:00.207089, 24635, 0, True
30, 0:00:01.005345, 122011, 0, True
30, 0:00:00.007521, 895, 0, True
30, 0:00:00.048154, 5311, 0, True
30, 0:00:00.001029, 117, 0, True
30, 0:00:00.009024, 1058, 0, True
40, 0:00:00.004011, 471, 0, True
40, 0:00:00.006015, 675, 0, True
40, 0:00:00.002005, 219, 0, True
40, 0:00:00.001002, 81, 0, True
40, 0:00:00.013568, 1396, 0, True
40, 0:00:34.326295, 4164336, 0, True
40, 0:00:24.217850, 2975729, 0, True
40, 0:00:00.088735, 10715, 0, True
40, 0:00:00.000501, 18, 0, True
40, 0:00:00, 56, 0, True
50, 0:00:00.001536, 189, 0, True
50, 0:00:00.006517, 805, 0, True
50, 0:00:00.004500, 476, 0, True
50, 0:00:00, 19, 0, True
50, 0:00:00.005014, 568, 0, True
50, 0:00:00.002006, 175, 0, True
50, 0:00:00, 25, 0, True
50, 0:00:00, 10, 0, True
50, 0:00:00.000502, 67, 0, True
50, 0:00:00.004512, 520, 0, True
60, 0:00:00.000517, 17, 0, True
60, 0:00:00, 44, 0, True
60, 0:00:00, 32, 0, True
60, 0:00:00.002506, 296, 0, True
60, 0:00:00.053141, 5817, 0, True
60, 0:00:00.001001, 103, 0, True
60, 0:00:00.002507, 268, 0, True
60, 0:00:00.000500, 38, 0, True
60, 0:00:00.010528, 1228, 0, True
60, 0:00:00.001002, 73, 0, True
70, 0:00:00, 14, 0, True
70, 0:00:00.002004, 221, 0, True
70, 0:00:00.002004, 197, 0, True
70, 0:00:00, 42, 0, True
70, 0:00:00.009024, 935, 0, True
70, 0:00:00.000493, 52, 0, True
70, 0:00:00.000501, 74, 0, True
70, 0:00:00.000498, 53, 0, True
70, 0:00:00.000501, 43, 0, True
70, 0:00:00.000501, 55, 0, True
80, 0:00:00, 46, 0, True
80, 0:00:00.005014, 380, 0, True
80, 0:00:00.000501, 69, 0, True
80, 0:00:00, 25, 0, True
80, 0:00:00.001503, 138, 0, True
80, 0:00:00.000502, 23, 0, True
80, 0:00:00.006017, 687, 0, True
80, 0:00:00.001504, 227, 0, True
80, 0:00:00.001504, 145, 0, True
80, 0:00:00.000501, 21, 0, True
90, 0:00:00.001504, 143, 0, True
90, 0:00:00.030081, 3160, 0, True
90, 0:00:00.000501, 83, 0, True
90, 0:00:00.000495, 36, 0, True
90, 0:00:00.000502, 31, 0, True
90, 0:00:00, 31, 0, True
90, 0:00:00.001003, 85, 0, True
90, 0:00:00.001003, 147, 0, True
90, 0:00:00.002005, 211, 0, True
90, 0:00:00.003009, 388, 0, True
100,0:00:00.000501, 53, 0, True
100,0:00:00.001006, 74, 0, True
100,0:00:00.000501, 76, 0, True
100,0:00:00.000502, 51, 0, True
100,0:00:00.003009, 348, 0, True
100,0:00:00.001035, 78, 0, True
100,0:00:00, 42, 0, True
100,0:00:00.067680, 7730, 0, True
100,0:00:00.000501, 99, 0, True
100,0:00:00.000501, 81, 0, True
110,0:00:00.002005, 175, 0, True
110,0:00:00, 12, 0, True
110,0:00:00.000501, 82, 0, True
110,0:00:00.021558, 2553, 0, True
110,0:00:00.000501, 22, 0, True
110,0:00:00.001003, 100, 0, True
110,0:00:00, 9, 0, True
110,0:00:00.001514, 206, 0, True
110,0:00:00.000502, 50, 0, True
110,0:00:00.000509, 20, 0, True
120,0:00:00.004011, 446, 0, True
120,0:00:00.002005, 243, 0, True
120,0:00:00.000503, 45, 0, True
120,0:00:00.001504, 213, 0, True
120,0:00:00.018047, 2044, 0, True
120,0:00:00.000501, 47, 0, True
120,0:00:00.002506, 254, 0, True
120,0:00:00.001003, 83, 0, True
120,0:00:00.001002, 121, 0, True
120,0:00:00.014037, 1579, 0, True
130,0:00:00.000501, 48, 0, True
130,0:00:00.002507, 340, 0, True
130,0:00:00.000501, 67, 0, True
130,0:00:00.001003, 105, 0, True
130,0:00:00, 33, 0, True
130,0:00:00.000502, 22, 0, True
130,0:00:00.000512, 45, 0, True
130,0:00:00, 20, 0, True
130,0:00:00.000501, 49, 0, True
130,0:00:00, 12, 0, True
140,0:00:00.001003, 114, 0, True
140,0:00:00.000501, 101, 0, True
140,0:00:00.001002, 99, 0, True
140,0:00:00, 24, 0, True
140,0:00:00, 28, 0, True
140,0:00:00, 18, 0, True
140,0:00:00, 17, 0, True
140,0:00:00.000501, 13, 0, True
140,0:00:00.000501, 46, 0, True
140,0:00:00.002018, 245, 0, True
